# FONLL heavy quark hadroproduction cross section, calculated on Thu Jun 17 11:30:49 CEST 2021
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = lepton. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# ptmin = 5
# ptmax = 20
# ymin  = -5
# ymax  = 5
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dy (pb)
y central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
-1.1000 2.5650e+07 1.7361e+07 3.6505e+07 1.8050e+07 3.5920e+07 2.3290e+07 2.8290e+07 2.3330e+07 2.7970e+07 2.6770e+07 2.4520e+07 3.1340e+07 1.9350e+07 3.5920e+07 1.8050e+07
-1.0000 2.5920e+07 1.7525e+07 3.6890e+07 1.8220e+07 3.6300e+07 2.3550e+07 2.8580e+07 2.3560e+07 2.8270e+07 2.7020e+07 2.4800e+07 3.1690e+07 1.9550e+07 3.6300e+07 1.8220e+07
-0.9000 2.6170e+07 1.7676e+07 3.7248e+07 1.8380e+07 3.6650e+07 2.3770e+07 2.8850e+07 2.3780e+07 2.8560e+07 2.7250e+07 2.5050e+07 3.2010e+07 1.9740e+07 3.6650e+07 1.8380e+07
-0.8000 2.6390e+07 1.7811e+07 3.7567e+07 1.8520e+07 3.6960e+07 2.3980e+07 2.9100e+07 2.3970e+07 2.8810e+07 2.7460e+07 2.5280e+07 3.2300e+07 1.9910e+07 3.6960e+07 1.8520e+07
-0.7000 2.6590e+07 1.7923e+07 3.7840e+07 1.8640e+07 3.7230e+07 2.4160e+07 2.9310e+07 2.4140e+07 2.9030e+07 2.7640e+07 2.5480e+07 3.2550e+07 2.0060e+07 3.7230e+07 1.8640e+07
-0.6000 2.6760e+07 1.8030e+07 3.8085e+07 1.8750e+07 3.7470e+07 2.4320e+07 2.9500e+07 2.4290e+07 2.9220e+07 2.7800e+07 2.5650e+07 3.2770e+07 2.0190e+07 3.7470e+07 1.8750e+07
-0.5000 2.6900e+07 1.8118e+07 3.8293e+07 1.8840e+07 3.7670e+07 2.4450e+07 2.9660e+07 2.4420e+07 2.9390e+07 2.7940e+07 2.5800e+07 3.2960e+07 2.0300e+07 3.7670e+07 1.8840e+07
-0.4000 2.7020e+07 1.8184e+07 3.8463e+07 1.8910e+07 3.7840e+07 2.4560e+07 2.9780e+07 2.4520e+07 2.9520e+07 2.8050e+07 2.5920e+07 3.3110e+07 2.0390e+07 3.7840e+07 1.8910e+07
-0.3000 2.7110e+07 1.8241e+07 3.8586e+07 1.8970e+07 3.7960e+07 2.4640e+07 2.9880e+07 2.4600e+07 2.9620e+07 2.8130e+07 2.6010e+07 3.3230e+07 2.0460e+07 3.7960e+07 1.8970e+07
-0.2000 2.7180e+07 1.8275e+07 3.8686e+07 1.9010e+07 3.8060e+07 2.4700e+07 2.9950e+07 2.4650e+07 2.9700e+07 2.8190e+07 2.6080e+07 3.3310e+07 2.0500e+07 3.8060e+07 1.9010e+07
-0.1000 2.7220e+07 1.8306e+07 3.8738e+07 1.9040e+07 3.8110e+07 2.4740e+07 3.0000e+07 2.4690e+07 2.9740e+07 2.8230e+07 2.6120e+07 3.3360e+07 2.0530e+07 3.8110e+07 1.9040e+07
0.0000 2.7230e+07 1.8307e+07 3.8760e+07 1.9040e+07 3.8130e+07 2.4750e+07 3.0010e+07 2.4700e+07 2.9760e+07 2.8240e+07 2.6130e+07 3.3380e+07 2.0540e+07 3.8130e+07 1.9040e+07
0.1000 2.7220e+07 1.8306e+07 3.8738e+07 1.9040e+07 3.8110e+07 2.4740e+07 3.0000e+07 2.4690e+07 2.9740e+07 2.8230e+07 2.6120e+07 3.3360e+07 2.0530e+07 3.8110e+07 1.9040e+07
0.2000 2.7180e+07 1.8275e+07 3.8686e+07 1.9010e+07 3.8060e+07 2.4700e+07 2.9950e+07 2.4650e+07 2.9700e+07 2.8190e+07 2.6080e+07 3.3310e+07 2.0500e+07 3.8060e+07 1.9010e+07
0.3000 2.7110e+07 1.8241e+07 3.8586e+07 1.8970e+07 3.7960e+07 2.4640e+07 2.9880e+07 2.4600e+07 2.9620e+07 2.8130e+07 2.6010e+07 3.3230e+07 2.0460e+07 3.7960e+07 1.8970e+07
0.4000 2.7020e+07 1.8184e+07 3.8463e+07 1.8910e+07 3.7840e+07 2.4560e+07 2.9780e+07 2.4520e+07 2.9520e+07 2.8050e+07 2.5920e+07 3.3110e+07 2.0390e+07 3.7840e+07 1.8910e+07
0.5000 2.6900e+07 1.8118e+07 3.8293e+07 1.8840e+07 3.7670e+07 2.4450e+07 2.9660e+07 2.4420e+07 2.9390e+07 2.7940e+07 2.5800e+07 3.2960e+07 2.0300e+07 3.7670e+07 1.8840e+07
0.6000 2.6760e+07 1.8030e+07 3.8085e+07 1.8750e+07 3.7470e+07 2.4320e+07 2.9500e+07 2.4290e+07 2.9220e+07 2.7800e+07 2.5650e+07 3.2770e+07 2.0190e+07 3.7470e+07 1.8750e+07
0.7000 2.6590e+07 1.7923e+07 3.7840e+07 1.8640e+07 3.7230e+07 2.4160e+07 2.9310e+07 2.4140e+07 2.9030e+07 2.7640e+07 2.5480e+07 3.2550e+07 2.0060e+07 3.7230e+07 1.8640e+07
0.8000 2.6390e+07 1.7811e+07 3.7567e+07 1.8520e+07 3.6960e+07 2.3980e+07 2.9100e+07 2.3970e+07 2.8810e+07 2.7460e+07 2.5280e+07 3.2300e+07 1.9910e+07 3.6960e+07 1.8520e+07
0.9000 2.6170e+07 1.7676e+07 3.7248e+07 1.8380e+07 3.6650e+07 2.3770e+07 2.8850e+07 2.3780e+07 2.8560e+07 2.7250e+07 2.5050e+07 3.2010e+07 1.9740e+07 3.6650e+07 1.8380e+07
1.0000 2.5920e+07 1.7525e+07 3.6890e+07 1.8220e+07 3.6300e+07 2.3550e+07 2.8580e+07 2.3560e+07 2.8270e+07 2.7020e+07 2.4800e+07 3.1690e+07 1.9550e+07 3.6300e+07 1.8220e+07
1.1000 2.5650e+07 1.7361e+07 3.6505e+07 1.8050e+07 3.5920e+07 2.3290e+07 2.8290e+07 2.3330e+07 2.7970e+07 2.6770e+07 2.4520e+07 3.1340e+07 1.9350e+07 3.5920e+07 1.8050e+07
1.2000 2.5350e+07 1.7181e+07 3.6075e+07 1.7860e+07 3.5500e+07 2.3020e+07 2.7960e+07 2.3070e+07 2.7630e+07 2.6490e+07 2.4220e+07 3.0960e+07 1.9120e+07 3.5500e+07 1.7860e+07
1.3000 2.5020e+07 1.6990e+07 3.5618e+07 1.7660e+07 3.5050e+07 2.2720e+07 2.7610e+07 2.2780e+07 2.7260e+07 2.6180e+07 2.3890e+07 3.0550e+07 1.8880e+07 3.5050e+07 1.7660e+07
1.4000 2.4670e+07 1.6782e+07 3.5130e+07 1.7440e+07 3.4570e+07 2.2400e+07 2.7230e+07 2.2480e+07 2.6870e+07 2.5850e+07 2.3540e+07 3.0100e+07 1.8610e+07 3.4570e+07 1.7440e+07
1.5000 2.4300e+07 1.6554e+07 3.4597e+07 1.7200e+07 3.4050e+07 2.2060e+07 2.6820e+07 2.2160e+07 2.6450e+07 2.5500e+07 2.3170e+07 2.9620e+07 1.8330e+07 3.4050e+07 1.7200e+07
1.6000 2.3910e+07 1.6312e+07 3.4034e+07 1.6950e+07 3.3500e+07 2.1700e+07 2.6390e+07 2.1810e+07 2.6000e+07 2.5130e+07 2.2770e+07 2.9120e+07 1.8030e+07 3.3500e+07 1.6950e+07
1.7000 2.3490e+07 1.6052e+07 3.3432e+07 1.6680e+07 3.2910e+07 2.1310e+07 2.5930e+07 2.1440e+07 2.5530e+07 2.4730e+07 2.2350e+07 2.8580e+07 1.7710e+07 3.2910e+07 1.6680e+07
1.8000 2.3050e+07 1.5777e+07 3.2800e+07 1.6390e+07 3.2290e+07 2.0910e+07 2.5450e+07 2.1060e+07 2.5030e+07 2.4310e+07 2.1900e+07 2.8020e+07 1.7380e+07 3.2290e+07 1.6390e+07
1.9000 2.2580e+07 1.5491e+07 3.2151e+07 1.6090e+07 3.1650e+07 2.0480e+07 2.4950e+07 2.0650e+07 2.4510e+07 2.3860e+07 2.1440e+07 2.7430e+07 1.7030e+07 3.1650e+07 1.6090e+07
2.0000 2.2100e+07 1.5192e+07 3.1457e+07 1.5780e+07 3.0970e+07 2.0030e+07 2.4420e+07 2.0230e+07 2.3970e+07 2.3390e+07 2.0950e+07 2.6810e+07 1.6660e+07 3.0970e+07 1.5780e+07
2.1000 2.1590e+07 1.4878e+07 3.0733e+07 1.5450e+07 3.0260e+07 1.9570e+07 2.3860e+07 1.9780e+07 2.3400e+07 2.2900e+07 2.0440e+07 2.6170e+07 1.6280e+07 3.0260e+07 1.5450e+07
2.2000 2.1060e+07 1.4543e+07 2.9992e+07 1.5100e+07 2.9530e+07 1.9080e+07 2.3290e+07 1.9320e+07 2.2810e+07 2.2390e+07 1.9920e+07 2.5500e+07 1.5880e+07 2.9530e+07 1.5100e+07
2.3000 2.0510e+07 1.4198e+07 2.9207e+07 1.4740e+07 2.8760e+07 1.8580e+07 2.2690e+07 1.8830e+07 2.2190e+07 2.1860e+07 1.9370e+07 2.4810e+07 1.5460e+07 2.8760e+07 1.4740e+07
2.4000 1.9950e+07 1.3831e+07 2.8400e+07 1.4360e+07 2.7970e+07 1.8060e+07 2.2070e+07 1.8330e+07 2.1560e+07 2.1300e+07 1.8810e+07 2.4090e+07 1.5030e+07 2.7970e+07 1.4360e+07
2.5000 1.9360e+07 1.3469e+07 2.7578e+07 1.3980e+07 2.7160e+07 1.7520e+07 2.1430e+07 1.7820e+07 2.0910e+07 2.0730e+07 1.8230e+07 2.3360e+07 1.4590e+07 2.7160e+07 1.3980e+07
