# FONLL heavy quark hadroproduction cross section, calculated on Sun May2 21:38:53 CEST 2021
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = meson. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# ptmin = 0.025
# ptmax = 100.025
# ymin = -1
# ymax = 1
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
pt central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
3.5750 1.7814e+07 9.4270e+06 2.6218e+07 1.0195e+07 2.5256e+07 1.5248e+07 2.0901e+07 1.5424e+07 2.0205e+07 1.6153e+07 1.8297e+07 2.2789e+07 1.3307e+07 2.5256e+07 1.0195e+07
3.6250 1.7723e+07 9.4128e+06 2.6078e+07 1.0173e+07 2.5131e+07 1.5183e+07 2.0774e+07 1.5356e+07 2.0090e+07 1.6105e+07 1.8185e+07 2.2667e+07 1.3238e+07 2.5131e+07 1.0173e+07
3.6750 1.7627e+07 9.3956e+06 2.5931e+07 1.0147e+07 2.5000e+07 1.5113e+07 2.0643e+07 1.5284e+07 1.9969e+07 1.6052e+07 1.8069e+07 2.2540e+07 1.3165e+07 2.5000e+07 1.0147e+07
3.7250 1.7526e+07 9.3756e+06 2.5777e+07 1.0118e+07 2.4863e+07 1.5040e+07 2.0507e+07 1.5208e+07 1.9844e+07 1.5995e+07 1.7948e+07 2.2407e+07 1.3089e+07 2.4863e+07 1.0118e+07
3.7750 1.7422e+07 9.3530e+06 2.5619e+07 1.0087e+07 2.4720e+07 1.4963e+07 2.0366e+07 1.5129e+07 1.9715e+07 1.5933e+07 1.7823e+07 2.2269e+07 1.3010e+07 2.4720e+07 1.0087e+07
3.8250 1.7313e+07 9.3276e+06 2.5454e+07 1.0052e+07 2.4572e+07 1.4882e+07 2.0220e+07 1.5046e+07 1.9581e+07 1.5867e+07 1.7694e+07 2.2125e+07 1.2927e+07 2.4572e+07 1.0052e+07
3.8750 1.7201e+07 9.2999e+06 2.5284e+07 1.0016e+07 2.4418e+07 1.4798e+07 2.0071e+07 1.4960e+07 1.9443e+07 1.5798e+07 1.7562e+07 2.1977e+07 1.2842e+07 2.4418e+07 1.0016e+07
3.9250 1.7085e+07 9.2696e+06 2.5110e+07 9.9763e+06 2.4259e+07 1.4711e+07 1.9917e+07 1.4870e+07 1.9301e+07 1.5725e+07 1.7426e+07 2.1825e+07 1.2754e+07 2.4259e+07 9.9763e+06
3.9750 1.6966e+07 9.2371e+06 2.4930e+07 9.9345e+06 2.4096e+07 1.4620e+07 1.9760e+07 1.4777e+07 1.9155e+07 1.5648e+07 1.7287e+07 2.1668e+07 1.2664e+07 2.4096e+07 9.9345e+06
4.0250 1.6844e+07 9.2023e+06 2.4746e+07 9.8904e+06 2.3928e+07 1.4527e+07 1.9600e+07 1.4681e+07 1.9006e+07 1.5567e+07 1.7145e+07 2.1507e+07 1.2571e+07 2.3928e+07 9.8904e+06
4.0750 1.6718e+07 9.1653e+06 2.4558e+07 9.8440e+06 2.3755e+07 1.4431e+07 1.9436e+07 1.4583e+07 1.8854e+07 1.5484e+07 1.7000e+07 2.1342e+07 1.2476e+07 2.3755e+07 9.8440e+06
4.1250 1.6590e+07 9.1263e+06 2.4366e+07 9.7956e+06 2.3578e+07 1.4332e+07 1.9270e+07 1.4482e+07 1.8699e+07 1.5397e+07 1.6853e+07 2.1173e+07 1.2379e+07 2.3578e+07 9.7956e+06
4.1750 1.6460e+07 9.0852e+06 2.4170e+07 9.7451e+06 2.3398e+07 1.4231e+07 1.9100e+07 1.4378e+07 1.8541e+07 1.5307e+07 1.6703e+07 2.1001e+07 1.2280e+07 2.3398e+07 9.7451e+06
4.2250 1.6326e+07 9.0422e+06 2.3970e+07 9.6928e+06 2.3214e+07 1.4128e+07 1.8929e+07 1.4272e+07 1.8381e+07 1.5214e+07 1.6551e+07 2.0826e+07 1.2179e+07 2.3214e+07 9.6928e+06
4.2750 1.6191e+07 8.9974e+06 2.3768e+07 9.6386e+06 2.3026e+07 1.4022e+07 1.8755e+07 1.4163e+07 1.8218e+07 1.5119e+07 1.6397e+07 2.0648e+07 1.2077e+07 2.3026e+07 9.6386e+06
4.3250 1.6053e+07 8.9508e+06 2.3562e+07 9.5826e+06 2.2835e+07 1.3914e+07 1.8579e+07 1.4053e+07 1.8053e+07 1.5021e+07 1.6242e+07 2.0467e+07 1.1973e+07 2.2835e+07 9.5826e+06
4.3750 1.5913e+07 8.9025e+06 2.3353e+07 9.5250e+06 2.2641e+07 1.3805e+07 1.8401e+07 1.3940e+07 1.7887e+07 1.4921e+07 1.6084e+07 2.0283e+07 1.1868e+07 2.2641e+07 9.5250e+06
4.4250 1.5772e+07 8.8527e+06 2.3141e+07 9.4658e+06 2.2444e+07 1.3693e+07 1.8222e+07 1.3826e+07 1.7718e+07 1.4818e+07 1.5925e+07 2.0097e+07 1.1761e+07 2.2444e+07 9.4658e+06
4.4750 1.5628e+07 8.8013e+06 2.2927e+07 9.4051e+06 2.2244e+07 1.3580e+07 1.8040e+07 1.3709e+07 1.7548e+07 1.4713e+07 1.5765e+07 1.9909e+07 1.1653e+07 2.2244e+07 9.4051e+06
4.5250 1.5484e+07 8.7485e+06 2.2711e+07 9.3430e+06 2.2042e+07 1.3465e+07 1.7858e+07 1.3592e+07 1.7376e+07 1.4606e+07 1.5604e+07 1.9718e+07 1.1544e+07 2.2042e+07 9.3430e+06
4.5750 1.5337e+07 8.6943e+06 2.2492e+07 9.2796e+06 2.1838e+07 1.3349e+07 1.7674e+07 1.3472e+07 1.7202e+07 1.4497e+07 1.5441e+07 1.9526e+07 1.1434e+07 2.1838e+07 9.2796e+06
4.6250 1.5190e+07 8.6389e+06 2.2272e+07 9.2148e+06 2.1632e+07 1.3231e+07 1.7488e+07 1.3352e+07 1.7028e+07 1.4386e+07 1.5277e+07 1.9332e+07 1.1323e+07 2.1632e+07 9.2148e+06
4.6750 1.5042e+07 8.5821e+06 2.2051e+07 9.1490e+06 2.1424e+07 1.3113e+07 1.7303e+07 1.3230e+07 1.6853e+07 1.4274e+07 1.5113e+07 1.9137e+07 1.1211e+07 2.1424e+07 9.1490e+06
4.7250 1.4892e+07 8.5242e+06 2.1828e+07 9.0820e+06 2.1215e+07 1.2993e+07 1.7116e+07 1.3108e+07 1.6677e+07 1.4160e+07 1.4948e+07 1.8940e+07 1.1099e+07 2.1215e+07 9.0820e+06
4.7750 1.4742e+07 8.4652e+06 2.1604e+07 9.0139e+06 2.1004e+07 1.2872e+07 1.6929e+07 1.2984e+07 1.6500e+07 1.4045e+07 1.4783e+07 1.8743e+07 1.0986e+07 2.1004e+07 9.0139e+06
4.8250 1.4591e+07 8.4052e+06 2.1379e+07 8.9449e+06 2.0792e+07 1.2751e+07 1.6742e+07 1.2860e+07 1.6323e+07 1.3929e+07 1.4617e+07 1.8544e+07 1.0873e+07 2.0792e+07 8.9449e+06
4.8750 1.4440e+07 8.3442e+06 2.1153e+07 8.8750e+06 2.0579e+07 1.2629e+07 1.6554e+07 1.2735e+07 1.6145e+07 1.3811e+07 1.4452e+07 1.8345e+07 1.0760e+07 2.0579e+07 8.8750e+06
4.9250 1.4288e+07 8.2823e+06 2.0926e+07 8.8042e+06 2.0365e+07 1.2506e+07 1.6366e+07 1.2609e+07 1.5967e+07 1.3692e+07 1.4286e+07 1.8145e+07 1.0646e+07 2.0365e+07 8.8042e+06
4.9750 1.4136e+07 8.2195e+06 2.0699e+07 8.7327e+06 2.0150e+07 1.2382e+07 1.6178e+07 1.2482e+07 1.5789e+07 1.3572e+07 1.4120e+07 1.7944e+07 1.0532e+07 2.0150e+07 8.7327e+06
5.0250 1.3983e+07 8.1559e+06 2.0471e+07 8.6604e+06 1.9934e+07 1.2258e+07 1.5990e+07 1.2355e+07 1.5611e+07 1.3451e+07 1.3954e+07 1.7744e+07 1.0417e+07 1.9934e+07 8.6604e+06
5.0750 1.3830e+07 8.0918e+06 2.0243e+07 8.5877e+06 1.9718e+07 1.2134e+07 1.5802e+07 1.2228e+07 1.5432e+07 1.3330e+07 1.3788e+07 1.7543e+07 1.0303e+07 1.9718e+07 8.5877e+06
5.1250 1.3677e+07 8.0270e+06 2.0015e+07 8.5145e+06 1.9502e+07 1.2009e+07 1.5615e+07 1.2100e+07 1.5254e+07 1.3207e+07 1.3623e+07 1.7342e+07 1.0189e+07 1.9502e+07 8.5145e+06
