# FONLL heavy quark hadroproduction cross section, calculated on Sun May2 21:39:07 CEST 2021
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = meson. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# ebeam1 = 2515, ebeam2 = 2515
# PDF set = CTEQ6.6
# ptmin = 0.025
# ptmax = 100.025
# ymin = -1
# ymax = 1
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
pt central min max min_sc max_sc min_mass max_mass min_pdf max_pdf fr=.5.5 fr=22 fr=21 fr=12 fr=1.5 fr=.51
3.5750 8.7342e+06 5.2518e+06 1.2750e+07 5.6727e+06 1.2279e+07 7.4164e+06 1.0329e+07 7.7254e+06 9.7431e+06 8.7894e+06 8.4673e+06 1.0706e+07 6.5574e+06 1.2279e+07 5.6727e+06
3.6250 8.6702e+06 5.2305e+06 1.2652e+07 5.6460e+06 1.2190e+07 7.3692e+06 1.0242e+07 7.6735e+06 9.6668e+06 8.7417e+06 8.3965e+06 1.0621e+07 6.5091e+06 1.2190e+07 5.6460e+06
3.6750 8.6040e+06 5.2076e+06 1.2551e+07 5.6176e+06 1.2099e+07 7.3202e+06 1.0154e+07 7.6197e+06 9.5884e+06 8.6916e+06 8.3239e+06 1.0535e+07 6.4593e+06 1.2099e+07 5.6176e+06
3.7250 8.5360e+06 5.1832e+06 1.2448e+07 5.5877e+06 1.2005e+07 7.2694e+06 1.0062e+07 7.5641e+06 9.5078e+06 8.6393e+06 8.2495e+06 1.0446e+07 6.4080e+06 1.2005e+07 5.5877e+06
3.7750 8.4661e+06 5.1573e+06 1.2343e+07 5.5563e+06 1.1908e+07 7.2168e+06 9.9696e+06 7.5068e+06 9.4254e+06 8.5848e+06 8.1735e+06 1.0355e+07 6.3553e+06 1.1908e+07 5.5563e+06
3.8250 8.3944e+06 5.1301e+06 1.2235e+07 5.5234e+06 1.1809e+07 7.1627e+06 9.8750e+06 7.4478e+06 9.3411e+06 8.5282e+06 8.0960e+06 1.0262e+07 6.3013e+06 1.1809e+07 5.5234e+06
3.8750 8.3212e+06 5.1015e+06 1.2124e+07 5.4892e+06 1.1708e+07 7.1071e+06 9.7786e+06 7.3873e+06 9.2551e+06 8.4697e+06 8.0170e+06 1.0166e+07 6.2461e+06 1.1708e+07 5.4892e+06
3.9250 8.2464e+06 5.0717e+06 1.2012e+07 5.4538e+06 1.1604e+07 7.0500e+06 9.6806e+06 7.3254e+06 9.1675e+06 8.4094e+06 7.9366e+06 1.0070e+07 6.1897e+06 1.1604e+07 5.4538e+06
3.9750 8.1702e+06 5.0407e+06 1.1898e+07 5.4170e+06 1.1499e+07 6.9916e+06 9.5812e+06 7.2620e+06 9.0785e+06 8.3473e+06 7.8551e+06 9.9712e+06 6.1322e+06 1.1499e+07 5.4170e+06
4.0250 8.0927e+06 5.0085e+06 1.1782e+07 5.3792e+06 1.1392e+07 6.9319e+06 9.4805e+06 7.1974e+06 8.9880e+06 8.2835e+06 7.7724e+06 9.8712e+06 6.0736e+06 1.1392e+07 5.3792e+06
4.0750 8.0141e+06 4.9753e+06 1.1664e+07 5.3403e+06 1.1283e+07 6.8711e+06 9.3787e+06 7.1317e+06 8.8964e+06 8.2183e+06 7.6888e+06 9.7698e+06 6.0143e+06 1.1283e+07 5.3403e+06
4.1250 7.9344e+06 4.9411e+06 1.1546e+07 5.3004e+06 1.1172e+07 6.8093e+06 9.2759e+06 7.0650e+06 8.8037e+06 8.1517e+06 7.6044e+06 9.6674e+06 5.9541e+06 1.1172e+07 5.3004e+06
4.1750 7.8538e+06 4.9061e+06 1.1425e+07 5.2596e+06 1.1061e+07 6.7465e+06 9.1723e+06 6.9974e+06 8.7102e+06 8.0838e+06 7.5192e+06 9.5639e+06 5.8933e+06 1.1061e+07 5.2596e+06
4.2250 7.7723e+06 4.8701e+06 1.1304e+07 5.2180e+06 1.0948e+07 6.6829e+06 9.0680e+06 6.9288e+06 8.6157e+06 8.0148e+06 7.4334e+06 9.4594e+06 5.8318e+06 1.0948e+07 5.2180e+06
4.2750 7.6901e+06 4.8333e+06 1.1182e+07 5.1755e+06 1.0834e+07 6.6185e+06 8.9630e+06 6.8595e+06 8.5206e+06 7.9446e+06 7.3471e+06 9.3542e+06 5.7698e+06 1.0834e+07 5.1755e+06
4.3250 7.6072e+06 4.7957e+06 1.1059e+07 5.1322e+06 1.0718e+07 6.5533e+06 8.8575e+06 6.7895e+06 8.4248e+06 7.8733e+06 7.2604e+06 9.2482e+06 5.7072e+06 1.0718e+07 5.1322e+06
4.3750 7.5236e+06 4.7573e+06 1.0935e+07 5.0882e+06 1.0602e+07 6.4875e+06 8.7516e+06 6.7189e+06 8.3284e+06 7.8011e+06 7.1732e+06 9.1415e+06 5.6442e+06 1.0602e+07 5.0882e+06
4.4250 7.4396e+06 4.7183e+06 1.0810e+07 5.0436e+06 1.0486e+07 6.4211e+06 8.6452e+06 6.6476e+06 8.2316e+06 7.7279e+06 7.0858e+06 9.0344e+06 5.5809e+06 1.0486e+07 5.0436e+06
4.4750 7.3551e+06 4.6785e+06 1.0685e+07 4.9983e+06 1.0368e+07 6.3541e+06 8.5386e+06 6.5758e+06 8.1344e+06 7.6539e+06 6.9981e+06 8.9267e+06 5.5172e+06 1.0368e+07 4.9983e+06
4.5250 7.2703e+06 4.6382e+06 1.0559e+07 4.9524e+06 1.0250e+07 6.2866e+06 8.4318e+06 6.5036e+06 8.0369e+06 7.5791e+06 6.9103e+06 8.8187e+06 5.4532e+06 1.0250e+07 4.9524e+06
4.5750 7.1851e+06 4.5973e+06 1.0433e+07 4.9060e+06 1.0131e+07 6.2187e+06 8.3250e+06 6.4310e+06 7.9392e+06 7.5037e+06 6.8224e+06 8.7105e+06 5.3891e+06 1.0131e+07 4.9060e+06
4.6250 7.0998e+06 4.5559e+06 1.0306e+07 4.8592e+06 1.0012e+07 6.1505e+06 8.2181e+06 6.3582e+06 7.8415e+06 7.4277e+06 6.7346e+06 8.6021e+06 5.3248e+06 1.0012e+07 4.8592e+06
4.6750 7.0144e+06 4.5141e+06 1.0180e+07 4.8121e+06 9.8930e+06 6.0821e+06 8.1114e+06 6.2851e+06 7.7437e+06 7.3512e+06 6.6468e+06 8.4938e+06 5.2605e+06 9.8930e+06 4.8121e+06
4.7250 6.9289e+06 4.4719e+06 1.0054e+07 4.7646e+06 9.7735e+06 6.0134e+06 8.0049e+06 6.2119e+06 7.6459e+06 7.2744e+06 6.5592e+06 8.3854e+06 5.1962e+06 9.7735e+06 4.7646e+06
4.7750 6.8434e+06 4.4294e+06 9.9272e+06 4.7167e+06 9.6540e+06 5.9446e+06 7.8986e+06 6.1386e+06 7.5483e+06 7.1971e+06 6.4718e+06 8.2771e+06 5.1319e+06 9.6540e+06 4.7167e+06
4.8250 6.7580e+06 4.3865e+06 9.8010e+06 4.6687e+06 9.5345e+06 5.8756e+06 7.7926e+06 6.0652e+06 7.4508e+06 7.1196e+06 6.3847e+06 8.1690e+06 5.0676e+06 9.5345e+06 4.6687e+06
4.8750 6.6727e+06 4.3434e+06 9.6749e+06 4.6204e+06 9.4151e+06 5.8066e+06 7.6870e+06 5.9918e+06 7.3536e+06 7.0418e+06 6.2979e+06 8.0612e+06 5.0035e+06 9.4151e+06 4.6204e+06
4.9250 6.5875e+06 4.3000e+06 9.5491e+06 4.5719e+06 9.2958e+06 5.7376e+06 7.5818e+06 5.9184e+06 7.2566e+06 6.9639e+06 6.2114e+06 7.9536e+06 4.9395e+06 9.2958e+06 4.5719e+06
4.9750 6.5026e+06 4.2563e+06 9.4237e+06 4.5232e+06 9.1767e+06 5.6686e+06 7.4771e+06 5.8451e+06 7.1600e+06 6.8858e+06 6.1253e+06 7.8464e+06 4.8756e+06 9.1767e+06 4.5232e+06
5.0250 6.4179e+06 4.2125e+06 9.2986e+06 4.4745e+06 9.0578e+06 5.5996e+06 7.3729e+06 5.7719e+06 7.0638e+06 6.8076e+06 6.0397e+06 7.7396e+06 4.8120e+06 9.0578e+06 4.4745e+06
